"Order","Source","Type","Category","LiveAction","YearMade","PlexTitle","Episode","EpisodeName","StoryTime","PlexId"
0001,"UPN","episode","Star Trek: Enterprise","True",2001,"Star Trek: Enterprise","1x01","Broken Bow",,"NULL"
0002,"UPN","episode","Star Trek: Enterprise","True",2001,"Star Trek: Enterprise","1x01","Broken Bow (1)",,"NULL"
0003,"UPN","episode","Star Trek: Enterprise","True",2001,"Star Trek: Enterprise","1x02","Broken Bow (2)",,"NULL"
0004,"UPN","episode","Star Trek: Enterprise","True",2001,"Star Trek: Enterprise","1x01","Broken Bow, Part 1",,"NULL"
0005,"UPN","episode","Star Trek: Enterprise","True",2001,"Star Trek: Enterprise","1x02","Broken Bow, Part 2",,"NULL"
0006,"UPN","episode","Star Trek: Enterprise","True",2001,"Star Trek: Enterprise","1x03","Fight or Flight",,"NULL"
0007,"UPN","episode","Star Trek: Enterprise","True",2001,"Star Trek: Enterprise","1x04","Strange New World",,"NULL"
0008,"UPN","episode","Star Trek: Enterprise","True",2001,"Star Trek: Enterprise","1x05","Unexpected",,"NULL"
0009,"UPN","episode","Star Trek: Enterprise","True",2001,"Star Trek: Enterprise","1x06","Terra Nova",,"NULL"
0010,"UPN","episode","Star Trek: Enterprise","True",2001,"Star Trek: Enterprise","1x07","The Andorian Incident",,"NULL"
0011,"UPN","episode","Star Trek: Enterprise","True",2001,"Star Trek: Enterprise","1x08","Breaking the Ice",,"NULL"
0012,"UPN","episode","Star Trek: Enterprise","True",2001,"Star Trek: Enterprise","1x09","Civilization",,"NULL"
0013,"UPN","episode","Star Trek: Enterprise","True",2001,"Star Trek: Enterprise","1x10","Fortunate Son",,"NULL"
0014,"UPN","episode","Star Trek: Enterprise","True",2001,"Star Trek: Enterprise","1x11","Cold Front",,"NULL"
0015,"UPN","episode","Star Trek: Enterprise","True",2002,"Star Trek: Enterprise","1x12","Silent Enemy",,"NULL"
0016,"UPN","episode","Star Trek: Enterprise","True",2002,"Star Trek: Enterprise","1x13","Dear Doctor",,"NULL"
0017,"UPN","episode","Star Trek: Enterprise","True",2002,"Star Trek: Enterprise","1x14","Sleeping Dogs",,"NULL"
0018,"UPN","episode","Star Trek: Enterprise","True",2002,"Star Trek: Enterprise","1x15","Shadows of P'Jem",,"NULL"
0019,"UPN","episode","Star Trek: Enterprise","True",2002,"Star Trek: Enterprise","1x16","Shuttlepod One",,"NULL"
0020,"UPN","episode","Star Trek: Enterprise","True",2002,"Star Trek: Enterprise","1x17","Fusion",,"NULL"
0021,"UPN","episode","Star Trek: Enterprise","True",2002,"Star Trek: Enterprise","1x18","Rogue Planet",,"NULL"
0022,"UPN","episode","Star Trek: Enterprise","True",2002,"Star Trek: Enterprise","1x19","Acquisition",,"NULL"
0023,"UPN","episode","Star Trek: Enterprise","True",2002,"Star Trek: Enterprise","1x20","Oasis",,"NULL"
0024,"UPN","episode","Star Trek: Enterprise","True",2002,"Star Trek: Enterprise","1x21","Detained",,"NULL"
0025,"UPN","episode","Star Trek: Enterprise","True",2002,"Star Trek: Enterprise","1x22","Vox Sola",,"NULL"
0026,"UPN","episode","Star Trek: Enterprise","True",2002,"Star Trek: Enterprise","1x23","Fallen Hero",,"NULL"
0027,"UPN","episode","Star Trek: Enterprise","True",2002,"Star Trek: Enterprise","1x24","Desert Crossing",,"NULL"
0028,"UPN","episode","Star Trek: Enterprise","True",2002,"Star Trek: Enterprise","1x25","Two Days and Two Nights",,"NULL"
0029,"UPN","episode","Star Trek: Enterprise","True",2002,"Star Trek: Enterprise","1x26","Shockwave",,"NULL"
0030,"UPN","episode","Star Trek: Enterprise","True",2002,"Star Trek: Enterprise","1x26","Shockwave (1)",,"NULL"
0031,"UPN","episode","Star Trek: Enterprise","True",2002,"Star Trek: Enterprise","2x01","Shockwave (2)",,"NULL"
0032,"UPN","episode","Star Trek: Enterprise","True",2002,"Star Trek: Enterprise","1x26","Shockwave, Part 1",,"NULL"
0033,"UPN","episode","Star Trek: Enterprise","True",2002,"Star Trek: Enterprise","2x01","Shockwave, Part 2",,"NULL"
0034,"UPN","episode","Star Trek: Enterprise","True",2002,"Star Trek: Enterprise","2x02","Carbon Creek",,"NULL"
0035,"UPN","episode","Star Trek: Enterprise","True",2002,"Star Trek: Enterprise","2x03","Minefield",,"NULL"
0036,"UPN","episode","Star Trek: Enterprise","True",2002,"Star Trek: Enterprise","2x04","Dead Stop",,"NULL"
0037,"UPN","episode","Star Trek: Enterprise","True",2002,"Star Trek: Enterprise","2x05","A Night in Sickbay",,"NULL"
0038,"UPN","episode","Star Trek: Enterprise","True",2002,"Star Trek: Enterprise","2x06","Marauders",,"NULL"
0039,"UPN","episode","Star Trek: Enterprise","True",2002,"Star Trek: Enterprise","2x07","The Seventh",,"NULL"
0040,"UPN","episode","Star Trek: Enterprise","True",2002,"Star Trek: Enterprise","2x08","The Communicator",,"NULL"
0041,"UPN","episode","Star Trek: Enterprise","True",2002,"Star Trek: Enterprise","2x09","Singularity",,"NULL"
0042,"UPN","episode","Star Trek: Enterprise","True",2002,"Star Trek: Enterprise","2x10","Vanishing Point",,"NULL"
0043,"UPN","episode","Star Trek: Enterprise","True",2002,"Star Trek: Enterprise","2x11","Precious Cargo",,"NULL"
0044,"UPN","episode","Star Trek: Enterprise","True",2002,"Star Trek: Enterprise","2x12","The Catwalk",,"NULL"
0045,"UPN","episode","Star Trek: Enterprise","True",2003,"Star Trek: Enterprise","2x13","Dawn",,"NULL"
0046,"UPN","episode","Star Trek: Enterprise","True",2003,"Star Trek: Enterprise","2x14","Stigma",,"NULL"
0047,"UPN","episode","Star Trek: Enterprise","True",2003,"Star Trek: Enterprise","2x15","Cease Fire",,"NULL"
0048,"UPN","episode","Star Trek: Enterprise","True",2003,"Star Trek: Enterprise","2x16","Future Tense",,"NULL"
0049,"UPN","episode","Star Trek: Enterprise","True",2003,"Star Trek: Enterprise","2x17","Canamar",,"NULL"
0050,"UPN","episode","Star Trek: Enterprise","True",2003,"Star Trek: Enterprise","2x18","The Crossing",,"NULL"
0051,"UPN","episode","Star Trek: Enterprise","True",2003,"Star Trek: Enterprise","2x19","Judgment",,"NULL"
0052,"UPN","episode","Star Trek: Enterprise","True",2003,"Star Trek: Enterprise","2x20","Horizon",,"NULL"
0053,"UPN","episode","Star Trek: Enterprise","True",2003,"Star Trek: Enterprise","2x21","The Breach",,"NULL"
0054,"UPN","episode","Star Trek: Enterprise","True",2003,"Star Trek: Enterprise","2x22","Cogenitor",,"NULL"
0055,"UPN","episode","Star Trek: Enterprise","True",2003,"Star Trek: Enterprise","2x23","Regeneration",,"NULL"
0056,"UPN","episode","Star Trek: Enterprise","True",2003,"Star Trek: Enterprise","2x24","First Flight",,"NULL"
0057,"UPN","episode","Star Trek: Enterprise","True",2003,"Star Trek: Enterprise","2x25","Bounty",,"NULL"
0058,"UPN","episode","Star Trek: Enterprise","True",2003,"Star Trek: Enterprise","2x26","The Expanse",,"NULL"
0059,"UPN","episode","Star Trek: Enterprise","True",2003,"Star Trek: Enterprise","3x01","The Xindi",,"NULL"
0060,"UPN","episode","Star Trek: Enterprise","True",2003,"Star Trek: Enterprise","3x02","Anomaly",,"NULL"
0061,"UPN","episode","Star Trek: Enterprise","True",2003,"Star Trek: Enterprise","3x03","Extinction",,"NULL"
0062,"UPN","episode","Star Trek: Enterprise","True",2003,"Star Trek: Enterprise","3x04","Rajiin",,"NULL"
0063,"UPN","episode","Star Trek: Enterprise","True",2003,"Star Trek: Enterprise","3x05","Impulse",,"NULL"
0064,"UPN","episode","Star Trek: Enterprise","True",2003,"Star Trek: Enterprise","3x06","Exile",,"NULL"
0065,"UPN","episode","Star Trek: Enterprise","True",2003,"Star Trek: Enterprise","3x07","The Shipment",,"NULL"
0066,"UPN","episode","Star Trek: Enterprise","True",2003,"Star Trek: Enterprise","3x08","Twilight",,"NULL"
0067,"UPN","episode","Star Trek: Enterprise","True",2003,"Star Trek: Enterprise","3x09","North Star",,"NULL"
0068,"UPN","episode","Star Trek: Enterprise","True",2003,"Star Trek: Enterprise","3x10","Similitude",,"NULL"
