"Order","Source","Type","Category","LiveAction","YearMade","PlexTitle","Episode","EpisodeName","StoryTime","PlexId"
001,"MGM","movie","FILMS","True",1994,"Stargate",,,,"NULL"
003,"COMMAND","episode","Stargate Origins","True",2018,"Stargate Origins","s01e01","Episode 1",,"NULL"
004,"COMMAND","episode","Stargate Origins","True",2018,"Stargate Origins","s01e02","Episode 2",,"NULL"
005,"COMMAND","episode","Stargate Origins","True",2018,"Stargate Origins","s01e03","Episode 3",,"NULL"
006,"COMMAND","episode","Stargate Origins","True",2018,"Stargate Origins","s01e04","Episode 4",,"NULL"
007,"COMMAND","episode","Stargate Origins","True",2018,"Stargate Origins","s01e05","Episode 5",,"NULL"
008,"COMMAND","episode","Stargate Origins","True",2018,"Stargate Origins","s01e06","Episode 6",,"NULL"
009,"COMMAND","episode","Stargate Origins","True",2018,"Stargate Origins","s01e07","Episode 7",,"NULL"
010,"COMMAND","episode","Stargate Origins","True",2018,"Stargate Origins","s01e08","Episode 8",,"NULL"
011,"COMMAND","episode","Stargate Origins","True",2018,"Stargate Origins","s01e09","Episode 9",,"NULL"
012,"COMMAND","episode","Stargate Origins","True",2018,"Stargate Origins","s01e10","Episode 10",,"NULL"
013,"SCI_FI","episode","Stargate SG-1","True",1997,"Stargate SG-1","s01e01","Children of the Gods (1)",,"NULL"
014,"SCI_FI","episode","Stargate SG-2","True",1997,"Stargate SG-1","s01e02","Children of the Gods (2)",,"NULL"
015,"SCI_FI","episode","Stargate SG-3","True",1997,"Stargate SG-1","s01e03","The Enemy Within",,"NULL"
016,"SCI_FI","episode","Stargate SG-4","True",1997,"Stargate SG-1","s01e04","Emancipation",,"NULL"
017,"SCI_FI","episode","Stargate SG-5","True",1997,"Stargate SG-1","s01e05","The Broca Divide",,"NULL"
018,"SCI_FI","episode","Stargate SG-6","True",1997,"Stargate SG-1","s01e06","The First Commandment",,"NULL"
019,"SCI_FI","episode","Stargate SG-7","True",1997,"Stargate SG-1","s01e07","Cold Lazarus",,"NULL"
020,"SCI_FI","episode","Stargate SG-8","True",1997,"Stargate SG-1","s01e08","The Nox",,"NULL"
021,"SCI_FI","episode","Stargate SG-9","True",1997,"Stargate SG-1","s01e09","Brief Candle",,"NULL"
022,"SCI_FI","episode","Stargate SG-10","True",1997,"Stargate SG-1","s01e10","Thor's Hammer",,"NULL"
023,"SCI_FI","episode","Stargate SG-11","True",1997,"Stargate SG-1","s01e11","The Torment of Tantalus",,"NULL"
024,"SCI_FI","episode","Stargate SG-12","True",1997,"Stargate SG-1","s01e12","Bloodlines",,"NULL"
025,"SCI_FI","episode","Stargate SG-13","True",1997,"Stargate SG-1","s01e13","Fire and Water",,"NULL"
026,"SCI_FI","episode","Stargate SG-14","True",1997,"Stargate SG-1","s01e14","Hathor",,"NULL"
027,"SCI_FI","episode","Stargate SG-15","True",1997,"Stargate SG-1","s01e15","Singularity",,"NULL"
028,"SCI_FI","episode","Stargate SG-16","True",1998,"Stargate SG-1","s01e16","Cor-Ai",,"NULL"
029,"SCI_FI","episode","Stargate SG-17","True",1998,"Stargate SG-1","s01e17","Enigma",,"NULL"
030,"SCI_FI","episode","Stargate SG-18","True",1998,"Stargate SG-1","s01e18","Solitudes",,"NULL"
031,"SCI_FI","episode","Stargate SG-19","True",1998,"Stargate SG-1","s01e19","Tin Man",,"NULL"
032,"SCI_FI","episode","Stargate SG-20","True",1998,"Stargate SG-1","s01e20","There But For the Grace of God",,"NULL"
033,"SCI_FI","episode","Stargate SG-21","True",1998,"Stargate SG-1","s01e21","Politics (1)",,"NULL"
034,"SCI_FI","episode","Stargate SG-22","True",1998,"Stargate SG-1","s01e21","Politics",,"NULL"
035,"SCI_FI","episode","Stargate SG-23","True",1998,"Stargate SG-1","s01e22","Within the Serpent's Grasp (2)",,"NULL"
036,"SCI_FI","episode","Stargate SG-24","True",1998,"Stargate SG-1","s01e22","Within the Serpent's Grasp",,"NULL"
037,"SCI_FI","episode","Stargate SG-25","True",1998,"Stargate SG-1","s02e01","The Serpent's Lair (3)",,"NULL"
038,"SCI_FI","episode","Stargate SG-26","True",1998,"Stargate SG-1","s02e01","The Serpent's Lair",,"NULL"
039,"SCI_FI","episode","Stargate SG-27","True",1998,"Stargate SG-1","s02e02","In the Line of Duty",,"NULL"
040,"SCI_FI","episode","Stargate SG-28","True",1998,"Stargate SG-1","s02e03","Prisoners",,"NULL"
041,"SCI_FI","episode","Stargate SG-29","True",1998,"Stargate SG-1","s02e04","The Gamekeeper",,"NULL"
042,"SCI_FI","episode","Stargate SG-30","True",1998,"Stargate SG-1","s02e05","Need",,"NULL"
043,"SCI_FI","episode","Stargate SG-31","True",1998,"Stargate SG-1","s02e06","Thor's Chariot",,"NULL"
044,"SCI_FI","episode","Stargate SG-32","True",1998,"Stargate SG-1","s02e07","Message in a Bottle",,"NULL"
045,"SCI_FI","episode","Stargate SG-33","True",1998,"Stargate SG-1","s02e08","Family",,"NULL"
046,"SCI_FI","episode","Stargate SG-34","True",1998,"Stargate SG-1","s02e09","Secrets",,"NULL"
047,"SCI_FI","episode","Stargate SG-35","True",1998,"Stargate SG-1","s02e10","Bane",,"NULL"
048,"SCI_FI","episode","Stargate SG-36","True",1998,"Stargate SG-1","s02e11","The Tok'ra (1)",,"NULL"
049,"SCI_FI","episode","Stargate SG-37","True",1998,"Stargate SG-1","s02e12","The Tok'ra (2)",,"NULL"
050,"SCI_FI","episode","Stargate SG-38","True",1998,"Stargate SG-1","s02e13","Spirits",,"NULL"
051,"SCI_FI","episode","Stargate SG-39","True",1998,"Stargate SG-1","s02e14","Touchstone",,"NULL"
052,"SCI_FI","episode","Stargate SG-40","True",1999,"Stargate SG-1","s02e15","The Fifth Race",,"NULL"
053,"SCI_FI","episode","Stargate SG-41","True",1999,"Stargate SG-1","s02e16","A Matter of Time",,"NULL"
054,"SCI_FI","episode","Stargate SG-42","True",1999,"Stargate SG-1","s02e17","Holiday",,"NULL"
055,"SCI_FI","episode","Stargate SG-43","True",1999,"Stargate SG-1","s02e18","Serpent's Song",,"NULL"
056,"SCI_FI","episode","Stargate SG-44","True",1999,"Stargate SG-1","s02e19","One False Step",,"NULL"
057,"SCI_FI","episode","Stargate SG-45","True",1999,"Stargate SG-1","s02e20","Show and Tell",,"NULL"
058,"SCI_FI","episode","Stargate SG-46","True",1999,"Stargate SG-1","s02e21","1969",,"NULL"
059,"SCI_FI","episode","Stargate SG-47","True",1999,"Stargate SG-1","s02e22","Out of Mind (1)",,"NULL"
060,"SCI_FI","episode","Stargate SG-48","True",1999,"Stargate SG-1","s03e01","Into the Fire (2)",,"NULL"
061,"SCI_FI","episode","Stargate SG-49","True",1999,"Stargate SG-1","s03e02","Seth",,"NULL"
062,"SCI_FI","episode","Stargate SG-50","True",1999,"Stargate SG-1","s03e03","Fair Game",,"NULL"
063,"SCI_FI","episode","Stargate SG-51","True",1999,"Stargate SG-1","s03e04","Legacy",,"NULL"
064,"SCI_FI","episode","Stargate SG-52","True",1999,"Stargate SG-1","s03e05","Learning Curve",,"NULL"
065,"SCI_FI","episode","Stargate SG-53","True",1999,"Stargate SG-1","s03e06","Point of View",,"NULL"
066,"SCI_FI","episode","Stargate SG-54","True",1999,"Stargate SG-1","s03e07","Deadman Switch",,"NULL"
067,"SCI_FI","episode","Stargate SG-55","True",1999,"Stargate SG-1","s03e08","Demons",,"NULL"
068,"SCI_FI","episode","Stargate SG-56","True",1999,"Stargate SG-1","s03e09","Rules of Engagement",,"NULL"
069,"SCI_FI","episode","Stargate SG-57","True",1999,"Stargate SG-1","s03e10","Forever in a Day",,"NULL"
070,"SCI_FI","episode","Stargate SG-58","True",1999,"Stargate SG-1","s03e11","Past and Present",,"NULL"
071,"SCI_FI","episode","Stargate SG-59","True",1999,"Stargate SG-1","s03e12","Jolinar's Memories (1)",,"NULL"
072,"SCI_FI","episode","Stargate SG-60","True",1999,"Stargate SG-1","s03e13","The Devil You Know (2)",,"NULL"
073,"SCI_FI","episode","Stargate SG-61","True",1999,"Stargate SG-1","s03e14","Foothold",,"NULL"
074,"SCI_FI","episode","Stargate SG-62","True",1999,"Stargate SG-1","s03e15","Pretense",,"NULL"
075,"SCI_FI","episode","Stargate SG-63","True",1999,"Stargate SG-1","s03e16","Urgo",,"NULL"
076,"SCI_FI","episode","Stargate SG-64","True",2000,"Stargate SG-1","s03e17","A Hundred Days",,"NULL"
077,"SCI_FI","episode","Stargate SG-65","True",2000,"Stargate SG-1","s03e18","Shades of Grey",,"NULL"
078,"SCI_FI","episode","Stargate SG-66","True",2000,"Stargate SG-1","s03e19","New Ground",,"NULL"
079,"SCI_FI","episode","Stargate SG-67","True",2000,"Stargate SG-1","s03e20","Maternal Instinct",,"NULL"
080,"SCI_FI","episode","Stargate SG-68","True",2000,"Stargate SG-1","s03e21","Crystal Skull",,"NULL"
081,"SCI_FI","episode","Stargate SG-69","True",2000,"Stargate SG-1","s03e22","Nemesis (1)",,"NULL"
082,"SCI_FI","episode","Stargate SG-70","True",2000,"Stargate SG-1","s04e01","Small Victories (2)",,"NULL"
083,"SCI_FI","episode","Stargate SG-71","True",2000,"Stargate SG-1","s04e02","The Other Side",,"NULL"
084,"SCI_FI","episode","Stargate SG-72","True",2000,"Stargate SG-1","s04e03","Upgrades",,"NULL"
085,"SCI_FI","episode","Stargate SG-73","True",2000,"Stargate SG-1","s04e04","Crossroads",,"NULL"
086,"SCI_FI","episode","Stargate SG-74","True",2000,"Stargate SG-1","s04e05","Divide and Conquer",,"NULL"
087,"SCI_FI","episode","Stargate SG-75","True",2000,"Stargate SG-1","s04e06","Window of Opportunity",,"NULL"
088,"SCI_FI","episode","Stargate SG-76","True",2000,"Stargate SG-1","s04e07","Watergate",,"NULL"
089,"SCI_FI","episode","Stargate SG-77","True",2000,"Stargate SG-1","s04e08","The First Ones",,"NULL"
090,"SCI_FI","episode","Stargate SG-78","True",2000,"Stargate SG-1","s04e09","Scorched Earth",,"NULL"
091,"SCI_FI","episode","Stargate SG-79","True",2000,"Stargate SG-1","s04e10","Beneath the Surface",,"NULL"
092,"SCI_FI","episode","Stargate SG-80","True",2000,"Stargate SG-1","s04e11","Point of No Return",,"NULL"
093,"SCI_FI","episode","Stargate SG-81","True",2000,"Stargate SG-1","s04e12","Tangent",,"NULL"
094,"SCI_FI","episode","Stargate SG-82","True",2000,"Stargate SG-1","s04e13","The Curse",,"NULL"
095,"SCI_FI","episode","Stargate SG-83","True",2000,"Stargate SG-1","s04e14","The Serpent's Venom",,"NULL"
096,"SCI_FI","episode","Stargate SG-84","True",2001,"Stargate SG-1","s04e15","Chain Reaction",,"NULL"
097,"SCI_FI","episode","Stargate SG-85","True",2001,"Stargate SG-1","s04e16","2010",,"NULL"
098,"SCI_FI","episode","Stargate SG-86","True",2001,"Stargate SG-1","s04e17","Absolute Power",,"NULL"
